Geneid	siControl_A	siControl_B	siControl_C	siHOXA3_A	siHOXA3_B	siHOXA3_C
ENSG00000284652	1	0	0	0	0	0
ENSG00000284693	7	0	2	4	4	5
ENSG00000252956	0	0	0	0	0	0
ENSG00000235263	0	0	1	0	0	0
ENSG00000171612	408	496	537	384	612	409
ENSG00000231181	5	3	5	15	9	5
ENSG00000188807	421	440	349	392	335	427
ENSG00000171608	336	331	349	377	225	293
ENSG00000179840	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000231789	25	29	33	28	36	25
ENSG00000171603	2817	2661	2557	3197	2686	2949
ENSG00000271264	0	0	0	0	0	0
ENSG00000280113	0	0	2	1	0	0
ENSG00000178585	659	748	886	772	1037	770
ENSG00000223989	0	0	0	0	0	0
ENSG00000285701	12	1	4	13	2	7
ENSG00000162441	616	678	640	589	629	501
ENSG00000228150	14	9	19	5	1	5
ENSG00000173614	158	200	218	203	216	148
ENSG00000202415	3	2	1	3	3	0
ENSG00000283611	1	0	5	2	3	8
ENSG00000265521	0	0	0	0	0	2
ENSG00000241326	0	0	0	0	0	0
ENSG00000162444	5	1	5	2	2	3
ENSG00000130939	2631	2615	2782	2636	2298	2793
ENSG00000224340	1	0	0	2	1	0
ENSG00000233623	0	0	0	1	3	4
ENSG00000201746	0	1	0	3	0	6
ENSG00000054523	3093	2962	3093	2940	2063	2975
ENSG00000264881	1	0	0	0	0	0
ENSG00000199562	0	0	5	2	0	1
ENSG00000264501	0	0	0	0	0	0
ENSG00000284735	14	3	4	10	9	12
ENSG00000284642	16	12	17	11	15	12
ENSG00000142657	3573	3349	3371	3236	3132	2795
ENSG00000271989	1	0	1	0	1	0
ENSG00000251503	4	0	2	3	1	4
ENSG00000175279	10	27	20	14	48	27
ENSG00000241563	11	9	8	6	5	4
ENSG00000160049	1675	1651	1603	1672	1865	1588
ENSG00000203469	0	0	0	0	0	0
ENSG00000142655	405	413	356	431	451	428
ENSG00000243267	1	3	2	1	2	0
ENSG00000130940	51	42	20	35	28	48
ENSG00000272078	1	2	1	3	1	4
ENSG00000225158	0	0	0	0	0	0
ENSG00000175262	0	1	0	0	0	0
ENSG00000215785	4	2	3	3	0	0
ENSG00000120948	2117	2383	2381	2113	2912	2124
ENSG00000277726	0	0	0	0	0	0
ENSG00000009724	85	65	65	81	69	70
ENSG00000271895	20	34	27	16	34	17
ENSG00000116649	1163	1110	1156	919	1383	1037
ENSG00000171824	1369	1297	1298	1200	934	1343
ENSG00000226849	5	6	6	10	15	4
ENSG00000230337	0	2	5	5	3	2
ENSG00000198793	2600	2234	2361	2330	1463	2491
ENSG00000225602	6	0	1	3	1	5
ENSG00000253086	2	2	0	1	1	0
ENSG00000171819	13	8	6	7	12	9
ENSG00000207451	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	0	0
ENSG00000120942	315	347	336	263	287	288
ENSG00000238199	9	4	2	0	2	6
ENSG00000284646	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000204624	10	7	5	9	5	9
ENSG00000285833	0	0	0	0	0	0
ENSG00000235643	0	0	0	0	0	0
ENSG00000284708	2	7	10	5	6	2
ENSG00000116661	391	342	393	412	601	356
ENSG00000132879	294	261	247	297	332	246
ENSG00000116663	72	59	58	53	111	61
ENSG00000116670	682	689	705	828	1135	779
ENSG00000162490	133	124	172	182	140	177
ENSG00000177674	614	616	616	579	693	540
ENSG00000215910	0	0	0	0	2	0
ENSG00000177553	0	0	0	0	0	0
ENSG00000177000	496	493	548	530	494	540
ENSG00000011021	1064	953	924	900	620	1038
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
ENSG00000175206	25	17	11	19	8	18
ENSG00000275915	0	0	0	0	0	0
ENSG00000120937	145	137	161	134	188	118
ENSG00000224904	0	0	0	0	0	0
ENSG00000285646	3	1	0	5	0	3
ENSG00000199347	0	0	0	0	0	0
ENSG00000201801	0	0	0	0	0	0
ENSG00000116685	1298	1321	1162	1107	1394	1128
ENSG00000083444	1415	1478	1398	1487	1387	1326
ENSG00000116688	1946	1925	2045	1930	1469	1860
ENSG00000270914	1	0	0	0	0	0
ENSG00000116691	598	601	580	521	714	549
ENSG00000202461	12	10	4	9	6	7
ENSG00000276869	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0
ENSG00000120949	0	1	1	2	0	2
ENSG00000201135	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0
ENSG00000028137	58	48	46	25	19	25
ENSG00000263676	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	1324	1219	1264	1404	705	1307
ENSG00000239149	1	3	1	2	0	9
ENSG00000229484	0	0	0	0	0	0
ENSG00000162496	505	617	635	507	648	578
ENSG00000221340	5	4	3	2	11	1
ENSG00000276830	1	0	0	3	0	0
ENSG00000272482	15	10	16	16	15	17
ENSG00000204518	6	2	4	6	7	0
ENSG00000226166	0	0	0	0	0	0
ENSG00000188984	104	70	96	56	70	50
ENSG00000157330	7	1	0	2	2	3
ENSG00000116726	0	4	0	0	0	0
ENSG00000116721	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	0	0
ENSG00000120952	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0
ENSG00000274764	0	0	0	0	0	0
ENSG00000277058	0	0	0	0	0	0
ENSG00000229571	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0
ENSG00000275774	0	0	0	0	0	0
ENSG00000229978	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0
ENSG00000179412	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0
ENSG00000259961	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0
ENSG00000162493	677	618	642	612	752	586
ENSG00000222952	0	0	0	0	0	0
ENSG00000237445	1	0	3	0	0	0
ENSG00000253085	0	0	0	0	0	0
ENSG00000116731	1417	1357	1358	1426	933	1363
ENSG00000189337	260	290	228	274	219	285
ENSG00000252151	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
ENSG00000234593	0	0	0	0	0	0
ENSG00000235829	1	0	1	1	1	6
ENSG00000175147	18	13	27	38	13	15
ENSG00000171729	106	93	111	122	114	129
ENSG00000204464	3	0	0	0	3	1
ENSG00000215720	0	0	0	0	1	0
ENSG00000278480	0	0	0	0	0	0
ENSG00000142621	0	0	1	1	0	4
ENSG00000233485	0	0	0	0	0	0
ENSG00000236045	0	0	0	0	0	0
ENSG00000228140	0	0	0	0	0	0
ENSG00000142634	237	248	241	224	311	241
ENSG00000162438	2	0	0	0	0	0
ENSG00000142615	0	0	0	0	1	1
ENSG00000215704	1	4	0	3	1	4
ENSG00000132906	231	313	276	274	337	244
ENSG00000116138	723	683	692	600	515	626
ENSG00000251866	0	0	0	0	0	0
ENSG00000272510	0	0	0	0	0	0
ENSG00000116771	11	23	7	15	13	6
ENSG00000237301	1	1	0	0	1	0
ENSG00000235084	2	3	2	1	11	1
ENSG00000252417	0	0	0	0	0	0
ENSG00000236500	0	0	0	0	0	0
ENSG00000197312	1638	1590	1850	1623	1151	1627
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	0	0	0	0	0
ENSG00000116786	1434	1371	1298	1288	1259	1361
ENSG00000237938	38	30	17	33	13	32
ENSG00000162461	52	12	34	37	30	28
ENSG00000224459	0	0	0	0	0	0
ENSG00000162460	6	5	0	2	4	0
ENSG00000162458	838	749	798	750	776	795
ENSG00000224321	0	0	0	2	2	0
ENSG00000233954	51	29	37	67	45	41
ENSG00000178715	2	1	0	3	1	0
ENSG00000179743	54	33	43	57	73	51
ENSG00000065526	2276	1952	1853	2250	1084	2367
ENSG00000270620	1	2	2	0	0	0
ENSG00000116809	371	368	400	328	356	344
ENSG00000234607	1	0	2	1	3	1
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	0	0	0	0	0	0
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	35	46	42	35	36	41
ENSG00000186510	6	14	6	10	14	14
ENSG00000232456	0	0	0	2	1	1
ENSG00000184908	45	31	65	57	50	58
ENSG00000185519	2	3	3	4	5	1
ENSG00000142627	620	526	604	579	439	497
ENSG00000227959	6	5	17	9	7	10
ENSG00000224621	6	2	3	4	5	1
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	447	472	458	376	360	448
ENSG00000237276	5	9	1	11	1	8
ENSG00000132881	80	84	98	102	109	91
ENSG00000233929	0	0	0	0	1	0
ENSG00000037637	584	610	651	620	577	539
ENSG00000055070	1157	1031	1030	1200	1325	1156
ENSG00000226457	1	2	2	0	1	1
ENSG00000187144	2	5	5	0	2	4
ENSG00000157191	482	609	652	673	780	526
ENSG00000226029	27	15	17	40	11	19
ENSG00000080947	190	133	114	180	152	171
ENSG00000206652	0	0	0	0	1	0
ENSG00000261135	0	0	1	1	1	0
ENSG00000285853	0	0	0	2	0	0
ENSG00000224174	0	0	0	0	0	0
ENSG00000233421	10	9	3	5	5	11
ENSG00000277344	0	0	0	0	0	0
ENSG00000225710	0	0	0	0	0	0
ENSG00000219481	478	476	579	410	284	482
ENSG00000271732	2	0	1	2	0	1
ENSG00000215908	661	735	757	649	653	684
ENSG00000283773	0	0	0	0	0	0
ENSG00000186301	54	33	48	33	63	43
ENSG00000282143	0	1	0	0	0	0
ENSG00000207513	0	0	0	0	0	0
ENSG00000280114	1	0	2	0	1	0
ENSG00000236698	204	176	229	165	250	155
ENSG00000268869	0	2	0	0	3	0
ENSG00000279151	0	0	0	0	0	0
ENSG00000282740	0	0	0	0	0	0
ENSG00000058453	615	589	538	530	613	503
ENSG00000227684	0	1	0	1	2	0
ENSG00000207389	0	0	0	0	0	0
ENSG00000186715	33	18	26	32	25	15
ENSG00000223643	0	0	0	0	0	0
ENSG00000230239	0	0	0	3	0	0
ENSG00000263811	0	0	0	0	0	0
ENSG00000228549	2	8	9	8	4	6
ENSG00000277234	0	0	0	0	0	0
ENSG00000238142	8	6	2	6	5	1
ENSG00000235241	3	0	5	2	3	2
ENSG00000207005	0	0	1	0	0	0
ENSG00000272426	3	5	2	1	1	2
ENSG00000117122	281	257	189	369	490	351
ENSG00000226526	0	0	0	0	0	0
ENSG00000159363	1305	1244	1090	1177	1118	1167
ENSG00000117118	334	368	335	395	498	350
ENSG00000117115	109	135	116	127	147	199
ENSG00000204362	0	0	0	0	0	0
ENSG00000282843	0	0	0	0	0	0
ENSG00000142623	0	2	0	1	0	1
ENSG00000142619	1	3	3	6	0	3
ENSG00000266634	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	3	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000227751	0	0	0	0	0	0
ENSG00000179051	3601	3589	3385	3439	3291	3355
ENSG00000074964	390	385	421	418	344	358
ENSG00000236648	0	0	0	0	0	0
ENSG00000117148	0	0	0	0	4	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0
ENSG00000117154	1	2	2	4	2	3
ENSG00000280222	0	0	0	0	0	0
ENSG00000230035	0	0	0	0	0	0
ENSG00000225387	0	0	0	0	0	0
ENSG00000179023	52	62	64	57	44	45
ENSG00000235282	0	0	0	0	0	0
ENSG00000225478	0	0	0	0	0	0
ENSG00000009709	0	0	0	3	0	0
ENSG00000179002	0	0	0	0	0	0
ENSG00000255275	1	0	0	0	0	2
ENSG00000159423	437	506	409	481	597	447
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	1	0	0	2
ENSG00000169991	111	115	129	93	51	78
ENSG00000272084	8	12	10	20	30	11
ENSG00000127481	5324	4654	4820	5256	2242	5361
ENSG00000230424	6	2	10	8	3	6
ENSG00000127463	1671	1691	1690	1556	1441	1472
ENSG00000053372	676	640	690	637	838	643
ENSG00000211454	15	14	7	12	13	11
ENSG00000162482	36	28	6	49	34	16
ENSG00000270728	55	54	44	52	42	55
ENSG00000053371	790	864	753	783	1082	681
ENSG00000200403	10	9	2	9	7	6
ENSG00000040487	395	470	378	365	505	422
ENSG00000077549	2508	2450	2444	2397	3041	2444
ENSG00000240490	0	0	0	0	2	0
ENSG00000173436	59	88	80	55	69	59
ENSG00000201609	0	0	0	0	0	0
ENSG00000235185	0	0	0	0	0	0
ENSG00000158747	25	20	18	32	30	27
ENSG00000270136	0	0	0	0	0	0
ENSG00000226396	19	9	9	5	10	5
ENSG00000158748	1	0	0	1	0	0
ENSG00000162542	118	128	129	111	102	117
ENSG00000178828	0	0	0	0	0	0
ENSG00000235434	0	0	0	0	0	0
ENSG00000169914	521	544	530	511	414	507
ENSG00000188784	0	0	0	0	0	0
ENSG00000242688	0	0	0	0	0	0
ENSG00000188257	0	0	8	1	2	0
ENSG00000127472	0	0	0	0	0	0
ENSG00000117215	0	0	0	0	0	0
ENSG00000158786	2	0	0	0	0	0
ENSG00000227066	0	0	3	1	2	0
ENSG00000187980	0	0	0	0	0	0
ENSG00000225986	0	0	0	0	0	0
